,Year,FIPSStateCode,FIPSCountyCode,Income,Rate,IncRat,Purpose,LTV,First,BoRace,BoGender,BoAge,Occup,Amount,PropType,BoCreditScore
37350,2009,46,11,43008,0.0538,0.8335,1,0.8,1,5,1,27,1,128000,PT01,5
37351,2009,19,97,59822,0.0475,1.1182,2,0.8,2,5,1,49,1,102400,PT01,5
37352,2009,39,17,94776,0.0525,1.4317,2,0.74,2,5,1,83,1,238000,PT01,4
37353,2009,18,107,164012,0.05,2.95,2,0.65,2,5,1,50,1,120000,PT01,5
37354,2009,18,107,55052,0.055,0.99,2,0.8,2,5,1,75,1,117600,PT01,4
37355,2009,26,7,14323,0.05,0.27,2,0.5,2,5,2,42,1,27000,PT01,5
37356,2009,26,121,56244,0.0538,1.02,2,0.4,2,5,2,48,1,79000,PT01,4
37357,2009,18,23,156036,0.0463,2.81,1,0.8,2,5,1,45,1,132000,PT01,5
37358,2009,18,179,36660,0.0563,0.57,1,0.8,1,5,2,99,1,68000,PT01,5
37359,2009,18,5,35835,0.055,0.55,1,0.9,2,5,1,24,1,102600,PT06,4
37360,2009,18,59,133324,0.0538,1.95,2,0.79,2,5,1,55,1,207500,PT01,4
37361,2009,18,63,121197,0.0438,1.77,2,0.58,2,5,1,45,1,118000,PT01,5
37362,2009,18,87,76704,0.0525,1.38,2,0.75,2,5,1,99,1,123000,PT01,5
37363,2009,18,147,51348,0.0538,0.92,1,0.95,2,5,2,27,1,114000,PT01,5
37364,2009,18,147,274104,0.0488,4.93,2,0.7,2,5,1,53,1,154000,PT01,5
37365,2009,18,147,142992,0.0475,2.57,2,0.8,2,5,1,47,1,236000,PT01,3
37366,2009,42,3,112156,0.0525,1.8693,2,0.6269,2,5,1,30,1,165500,PT01,4
37367,2009,42,93,185364,0.055,3.5993,1,0.8,2,2,2,44,1,385600,PT01,3
37368,2009,42,133,76500,0.0488,1.1751,1,0.8,2,5,1,43,1,144000,PT01,3
37369,2009,42,133,66144,0.0588,1.016,1,0.7862,2,5,1,48,1,135920,PT01,4
37370,2009,42,119,55106,0.0575,1.07,2,0.7104,2,5,1,29,1,103000,PT01,3
37371,2009,54,75,181077,0.0525,4.4058,1,0.8,2,7,1,28,2,120000,PT06,4
37372,2009,54,83,79466,0.0513,1.9335,1,0.8,2,5,1,31,1,134400,PT01,5
37373,2009,42,67,65774,0.0488,1.2772,2,0.8414,2,5,1,32,1,122000,PT01,5
37374,2009,42,37,67538,0.0475,1.3114,2,0.8,2,5,1,48,1,150300,PT01,3
37375,2009,18,57,122220,0.0525,1.7947,2,0.51,2,5,1,56,1,150450,PT01,5
37376,2009,18,97,47004,0.0538,0.6902,1,0.8,1,5,2,27,1,79200,PT01,5
37377,2009,39,17,101652,0.0538,1.469,2,0.75,2,5,1,46,1,200100,PT01,4
37378,2009,39,61,73032,0.0513,1.0554,2,0.76,2,5,1,31,1,129000,PT01,5
37379,2009,18,81,42000,0.0525,0.6167,1,0.8,1,5,2,63,1,104000,PT01,5
37380,2009,39,57,164616,0.0538,2.6508,1,0.74,2,2,1,42,1,280000,PT01,5
37381,2009,39,113,55992,0.0525,0.9016,2,0.84,2,5,1,46,1,96400,PT01,5
37382,2009,39,113,88212,0.0525,1.4205,2,0.73,2,5,1,44,1,111000,PT01,3
37383,2009,19,103,52716,0.0538,0.7764,1,0.5294,2,5,2,53,1,135000,PT06,4
37384,2009,29,3,117996,0.045,2.3552,2,0.73,2,5,1,44,1,120000,PT01,5
37385,2009,39,113,153456,0.0463,2.5662,2,0.8,2,5,1,51,1,140600,PT01,5
37386,2009,39,25,46988,0.0463,0.7098,1,0.8,2,5,2,54,1,114800,PT02,5
37387,2009,18,29,123168,0.045,1.8605,2,0.62,2,5,1,40,1,231500,PT01,5
37388,2009,39,49,399024,0.0513,6.1106,2,0.67,2,5,1,41,1,417000,PT01,4
37389,2009,39,49,117456,0.05,1.7987,2,0.8,2,5,1,31,1,140000,PT01,4
37390,2009,26,99,115020,0.05,1.4596,2,0.8,2,5,1,51,1,240000,PT01,3
37391,2009,39,103,142800,0.05,2.2995,2,0.56,2,5,1,49,1,303000,PT01,3
37392,2009,42,19,85992,0.0525,1.4332,2,0.61,2,5,2,53,1,117500,PT01,3
37393,2009,39,89,130500,0.0488,1.9985,2,0.79,2,5,1,46,1,391000,PT01,4
37394,2009,19,103,28653,0.0538,0.42200000000000004,2,0.7306,2,5,2,40,1,120550,PT01,4
37395,2009,19,103,84042,0.0475,1.2377,2,0.6377,2,5,1,61,1,132000,PT01,4
37396,2009,27,135,120000,0.0463,2.1164,2,0.62,2,5,1,99,1,132000,PT01,5
37397,2009,19,153,65666,0.0475,0.9671,2,0.7376,2,5,2,41,1,149000,PT01,5
37398,2009,27,45,75754,0.045,1.3359999999999999,2,0.58,2,5,1,44,1,126000,PT01,5
37399,2009,19,153,96955,0.0475,1.4279,2,0.8,2,5,1,37,1,203200,PT01,4
37400,2009,19,169,29000,0.05,0.4161,2,0.8,2,5,2,29,1,96800,PT01,5
37401,2009,27,5,44919,0.0575,0.7922,2,0.8,2,5,1,24,1,68000,PT01,4
37402,2009,27,79,78846,0.0463,1.3906,2,0.7633,2,5,1,26,1,114500,PT01,4
37403,2009,19,103,160000,0.0488,2.3564,2,0.7809999999999999,2,5,1,55,1,346000,PT01,5
37404,2009,19,97,40810,0.0513,0.7628,2,0.7617,2,5,1,51,1,91400,PT01,5
37405,2009,31,109,98640,0.045,1.4991,2,0.5964,2,5,1,99,1,136585,PT01,5
37406,2009,20,5,78989,0.0513,1.5766,2,0.66,2,5,1,99,1,40000,PT01,3
37407,2009,31,119,78627,0.0463,1.5179,2,0.5563,2,5,1,61,1,89000,PT01,5
37408,2009,31,55,48980,0.05,0.73,1,1.03,2,5,2,99,1,131191,PT01,5
37409,2009,31,177,90480,0.0475,1.3484,2,0.8,2,5,1,99,1,228000,PT01,5
37410,2009,31,55,64800,0.0488,0.9657,2,0.5387,2,5,2,47,1,83500,PT01,5
37411,2009,20,91,125000,0.0463,1.8437,2,0.7792,2,5,1,53,1,300000,PT02,3
37412,2009,8,7,97920,0.0475,1.8201,2,0.2665,2,5,1,84,1,90600,PT02,5
37413,2009,31,55,52488,0.0488,0.7822,2,0.7824,2,5,2,35,1,133000,PT01,3
37414,2009,39,61,114132,0.0488,1.724,2,0.49,2,5,1,37,1,165500,PT01,5
37415,2009,39,165,201348,0.0488,3.0415,2,0.75,2,5,1,48,1,386250,PT01,5
37416,2009,39,61,75660,0.0488,1.1429,2,0.9,2,5,1,37,1,224000,PT01,5
37417,2009,39,123,93144,0.05,1.5498,1,0.8,2,5,1,29,1,215666,PT01,4
37418,2009,39,61,119616,0.0488,1.8069,2,0.35,2,5,1,44,1,87500,PT01,5
37419,2009,21,117,308952,0.0488,4.6669,2,0.2,2,5,1,58,1,100000,PT01,5
37420,2009,21,117,117252,0.05,1.7712,2,0.7,2,5,1,41,1,167950,PT01,3
37421,2009,21,191,161592,0.045,2.441,2,0.64,2,5,1,45,1,177000,PT01,5
37422,2009,39,61,40188,0.045,0.6071,2,0.5,2,5,1,57,1,71500,PT01,5
37423,2009,39,95,285000,0.045,4.7421,1,0.75,2,2,1,40,1,288750,PT01,4
37424,2009,39,165,119340,0.0488,1.8027,2,0.75,2,5,1,41,1,251250,PT01,5
37425,2009,39,165,72528,0.05,1.0956,2,0.75,2,2,1,47,1,231375,PT01,4
37426,2009,31,19,60725,0.0475,1.1723,2,0.6043,2,5,1,49,1,84000,PT01,5
37427,2009,31,1,35048,0.065,0.6766,1,0.8,2,5,1,28,1,76000,PT01,2
37428,2009,20,13,19552,0.0513,0.3903,2,1.0,2,5,1,99,1,67000,PT01,3
37429,2009,20,91,130120,0.05,1.9192,2,0.77,2,4,2,33,1,142000,PT02,5
