Year,StateFIPS,CountyFIPS,Amount,Income,Rate,Income Ratio,LTV,Property Type,First,Race,Gender,Age,Credit Score
2015,51,109,250000,133224,0.035,1.7622,1.0,PT07,2,5,1,54,5
2015,51,510,300000,123132,0.035,1.1649,1.0,PT11,2,7,2,57,4
2015,12,57,265000,48420,0.0363,0.8585,1.0,PT01,1,5,1,54,5
2015,24,5,380000,143064,0.035,1.6713,1.0,PT01,1,3,1,31,4
2015,12,103,218000,73932,0.0363,1.3109,1.0,PT01,1,5,1,57,3
2015,12,71,335600,131892,0.0363,2.3139,1.04,PT07,1,3,1,50,5
2015,51,700,135000,66192,0.0338,0.9336,0.48,PT01,2,5,1,56,5
2015,12,71,153000,38472,0.035,0.6749,1.0,PT01,1,5,1,32,4
2015,45,85,148000,51336,0.035,1.0762,0.98,PT07,1,5,1,27,4
2015,12,113,417000,124416,0.0325,2.1016,0.95,PT01,2,5,2,41,5
2015,45,19,366050,125508,0.0338,1.9922,0.92,PT07,1,5,1,28,4
2015,51,3,300000,84936,0.0363,1.0917,0.61,PT07,2,5,1,69,5
2015,12,113,338800,174024,0.035,2.9396,1.04,PT07,2,5,1,40,4
2015,24,27,390000,114624,0.0338,1.3391,1.0,PT01,1,2,1,44,5
2015,51,43,417000,196416,0.035,1.8582,0.74,PT01,2,7,3,49,5
2015,12,91,106300,117708,0.0275,1.7209,0.79,PT01,1,5,1,34,5
2015,47,125,275000,139020,0.0275,2.5649,0.95,PT01,2,3,1,47,5
2015,13,77,131400,90000,0.035,1.2987,0.68,PT01,2,5,1,57,5
2015,51,11,142500,69984,0.0413,1.1645,0.95,PT01,2,5,2,37,4
2015,47,37,216000,135000,0.04,2.0119,0.8,PT11,1,5,2,29,5
2015,24,33,245471,71042,0.0475,0.6721,0.97,PT01,2,3,2,32,2
2015,13,135,298493,56400,0.045,0.8139,0.97,PT01,2,3,1,34,2
2015,13,97,175000,28956,0.04,0.4178,0.5,PT01,2,5,1,47,4
2015,47,65,319000,211368,0.0363,3.6569,0.69,PT07,2,5,1,45,5
2015,12,99,173400,55176,0.0388,0.8608,0.6,PT07,2,5,1,74,5
2015,21,15,112125,153210,0.04,2.1549,0.74,PT06,2,5,1,54,5
