Year,StateFIPS,CountyFIPS,Amount,Income,Rate,Income Ratio,LTV,Property Type,First,Race,Gender,Age,Credit Score
2009,21,117,115862,22922,0.05,0.3463,0.99,PT01,1,5,2,21,2
2009,54,107,81987,51396,0.05,1.0097,0.99,PT01,2,5,1,26,3
2009,21,111,48112,17568,0.0513,0.2857,0.99,PT01,2,5,1,59,2
2009,21,43,88369,33228,0.0513,0.7855,0.99,PT01,2,5,1,33,2
2009,21,227,107908,34920,0.05,0.6396,0.99,PT01,2,5,2,28,2
2009,45,19,179586,94044,0.0525,1.6103,0.965,PT06,2,5,1,31,2
2009,45,13,108770,44424,0.05,0.9554,0.9639,PT06,1,5,1,29,4
2009,45,51,138225,70836,0.0475,1.4055,0.9635,PT06,2,5,1,26,4
2009,54,55,70130,18054,0.0513,0.4393,0.7999,PT01,2,5,2,63,5
2009,54,55,77000,45760,0.0513,1.1134,0.9894,PT01,1,5,2,36,2
2009,21,117,57000,52236,0.05,0.7549,0.95,PT01,1,5,2,30,5
2009,47,125,176000,131728,0.0563,2.4901,0.8,PT01,2,5,1,56,4
2009,47,125,182320,150371,0.0475,2.8426,0.8,PT01,2,5,1,28,5
2009,21,15,190000,86654,0.0488,1.3090000000000002,0.69,PT01,2,5,2,34,5
2009,21,67,75000,44683,0.0538,0.6874,0.4,PT01,2,5,1,35,5
2009,12,5,108989,36696,0.0575,0.653,0.99,PT01,1,5,2,27,2
2009,12,115,176739,35880,0.0525,0.5759,0.99,PT01,1,5,1,26,4
2009,13,77,216000,84996,0.0463,1.22,0.8,PT01,2,5,1,35,5
2009,12,103,85325,35748,0.055,0.6327,0.99,PT01,1,5,1,34,3
2009,12,57,99857,41958,0.055,0.7426,0.99,PT01,1,5,1,47,4
2009,21,15,115100,35880,0.0513,0.5185,0.8,PT01,2,5,2,28,5
2009,21,37,118800,46500,0.0538,0.672,0.8,PT01,1,5,1,23,4
2009,12,107,140183,67500,0.055,1.4454,0.99,PT12,2,5,1,33,3
2009,21,117,417000,145000,0.0475,2.1903,0.58,PT01,2,5,1,50,4
2009,54,19,84685,35984,0.0525,0.8755,0.9847,PT01,1,5,2,42,3
2009,21,117,196000,75691,0.05,1.1434,0.8,PT01,2,5,1,43,4
2009,24,510,131572,34739,0.045,0.4442,0.965,PT01,2,3,2,27,1
2009,54,55,53040,34000,0.0513,0.8273,0.9522,PT01,1,5,1,22,3
2009,54,81,127551,33624,0.0525,0.8181,1.0204,PT01,1,5,2,27,5
2009,54,81,98000,47340,0.055,1.1518,0.9898,PT01,1,5,2,27,2
2009,54,81,127551,60752,0.05,1.4782,1.0204,PT01,1,5,1,27,2
2009,21,59,79000,37344,0.05,0.6729,0.78,PT01,1,5,2,25,5
2009,54,81,80102,55202,0.05,1.3431,0.948,PT01,1,5,1,33,4
2009,54,69,158650,86141,0.0538,1.8808,0.95,PT01,2,5,1,31,5
2009,47,93,171920,110000,0.05,1.87,0.8,PT01,2,7,1,54,3
2009,45,35,133438,34404,0.05,0.5891,0.965,PT06,1,5,1,20,3
2009,21,117,183100,78996,0.05,1.1933,0.8,PT01,2,5,1,38,4
2009,54,39,122320,68004,0.0499,1.2831,0.8,PT01,1,5,1,30,5
2009,54,81,56122,20941,0.0563,0.5095,0.9846,PT01,1,5,2,26,3
2009,37,97,104000,69472,0.0525,1.39,0.8,PT01,1,5,1,59,4
2009,51,95,234671,53785,0.0525,0.8262,0.965,PT01,1,5,1,41,1
2009,12,81,116745,60324,0.0563,0.9683,0.99,PT02,2,2,2,45,5
2009,21,19,82478,35844,0.0563,0.7468,0.99,PT01,2,5,2,47,4
2009,54,19,78061,45200,0.0563,1.0998,1.0138,PT01,1,5,1,19,4
2009,45,19,112917,33264,0.0475,0.5696,0.965,PT01,2,5,2,26,3
2009,51,810,235554,86313,0.0563,1.3259,0.965,PT01,1,5,1,32,1
2009,51,710,157102,49324,0.055,0.7577,0.965,PT01,2,3,1,66,1
2009,12,81,104080,42000,0.0475,0.7047,0.99,PT02,1,7,3,33,4
2009,21,117,149600,97272,0.05,1.4694,0.8,PT01,2,5,1,71,5
2009,12,115,63822,32520,0.0575,0.522,0.99,PT01,1,5,2,26,4
2009,24,3,355000,120992,0.0488,1.5472,1.0,PT02,1,5,1,34,2
2009,51,550,323815,63127,0.06,0.9697,1.0,PT01,1,5,1,34,2
2009,45,19,93101,23916,0.0475,0.4095,0.9015,PT01,1,5,2,24,3
2009,12,115,98090,26099,0.0513,0.4379,0.99,PT01,1,5,2,28,2
2009,12,15,120410,66716,0.055,1.2684,0.99,PT01,1,5,2,22,3
2009,12,115,152192,50112,0.0513,0.8044,0.99,PT01,2,7,3,51,4
2009,21,37,127645,64020,0.0575,0.9251,0.99,PT01,2,5,1,45,3
2009,45,83,118635,54924,0.0538,1.0171,0.9775,PT06,2,5,2,30,2
2009,45,19,328932,113184,0.0513,1.9381,0.965,PT01,2,5,1,47,2
2009,45,19,171830,71988,0.055,1.2327,0.965,PT01,2,5,1,31,5
2009,45,35,100000,58776,0.06,1.0064,1.0,PT01,2,5,1,65,2
2009,45,15,162011,45360,0.045,0.7767,0.965,PT01,2,5,2,35,5
2009,21,111,128000,35505,0.055,0.5773,0.83,PT01,1,5,2,28,5
2009,21,27,62400,41496,0.0525,0.981,0.8,PT01,1,5,1,22,3
2009,21,239,137200,50112,0.05,0.7892,0.8,PT01,2,5,1,31,4
2009,47,165,416999,233942,0.0475,3.7016,0.73,PT01,2,5,1,40,3
2009,21,15,166920,60768,0.0525,0.9179,0.99,PT01,2,5,2,63,4
2009,21,179,77900,49773,0.0525,0.8379,0.95,PT01,2,5,1,57,4
2009,21,111,96000,79071,0.0525,1.3312,0.8,PT01,2,5,1,53,5
2009,21,211,160000,62574,0.0488,1.0534,0.8,PT01,2,5,1,28,4
2009,21,185,272000,163581,0.0538,2.7539,0.8,PT01,2,5,3,35,5
2009,21,117,112800,35520,0.0525,0.5133,0.8,PT01,1,5,2,24,4
2009,21,211,85000,24759,0.055,0.4026,0.8,PT01,1,5,1,25,5
2009,47,125,168500,141000,0.0525,2.7485,0.85,PT01,2,5,1,41,4
2009,21,161,151994,64992,0.0588,1.5852,0.99,PT01,2,5,1,28,4
2009,12,81,117012,56373,0.0613,0.9459,0.98,PT01,1,5,1,40,1
2009,51,810,221906,76960,0.0563,1.1822,0.965,PT02,1,5,2,42,1
2009,51,73,377045,76824,0.0475,1.1801,1.0,PT01,2,5,1,49,4
2009,54,81,52500,19460,0.06,0.4735,0.8898,PT01,2,5,1,29,2
2009,47,125,417000,150253,0.05,2.9289,0.92,PT01,2,5,1,73,4
2009,12,71,186558,71880,0.05,1.2,0.99,PT02,2,5,1,50,3
2009,12,81,176739,159252,0.05,2.6719999999999997,0.99,PT01,2,5,1,27,4
2009,12,81,117826,25740,0.0538,0.4319,0.99,PT01,2,5,1,24,4
2009,21,211,85000,54662,0.0538,0.9202,0.48,PT01,2,5,2,50,4
2009,21,15,96000,28020,0.0475,0.4233,0.63,PT06,2,5,2,71,5
2009,21,15,272000,188669,0.0488,2.85,0.8,PT01,2,5,2,45,4
2009,12,21,196377,76848,0.0538,1.1105,0.99,PT01,1,5,2,42,2
2009,54,55,105000,47936,0.06,1.1663,0.9502,PT01,1,5,1,48,5
2009,54,55,78540,24912,0.06,0.6061,0.924,PT01,1,5,2,26,2
2009,12,119,115476,61077,0.055,1.3453,0.99,PT12,1,5,1,75,4
2009,21,73,182000,103704,0.05,2.5294,0.95,PT01,2,5,2,38,5
2009,47,125,136800,150000,0.05,2.924,0.95,PT01,2,5,1,63,5
2009,21,215,55000,49121,0.0513,0.8270000000000001,0.53,PT01,2,5,1,42,5
2009,21,101,122800,107595,0.045,1.7992,0.8,PT01,2,5,1,52,4
2009,21,111,140000,55562,0.05,0.9354,0.8,PT01,2,5,1,55,5
2009,21,111,119047,58957,0.055,0.9587,0.75,PT01,1,5,1,26,5
2009,21,67,297600,170844,0.05,2.6284,0.8,PT01,2,5,1,40,4
2009,21,67,108000,43200,0.0538,0.6646,0.8,PT01,1,5,2,23,3
2009,21,151,159000,105136,0.0513,2.5643,0.89,PT01,2,5,1,52,5
2009,21,101,88800,34705,0.05,0.5804,0.8,PT01,2,5,2,60,5
2009,21,101,116800,74218,0.05,1.2411,0.8,PT01,2,5,1,31,4
2009,24,43,125600,60500,0.0488,0.9665,0.8,PT01,2,2,2,44,5
2009,21,15,82478,18816,0.0538,0.2842,0.99,PT06,1,5,2,33,4
2009,54,55,85000,67395,0.06,1.6398,0.9392,PT01,1,5,1,35,2
2009,54,55,110000,47538,0.06,1.1566,0.9565,PT01,1,5,1,30,4
2009,54,55,69200,26496,0.06,0.6447,0.9288,PT01,1,5,2,31,3
2009,54,83,58400,25472,0.0488,0.6198,0.8,PT01,1,5,2,70,5
2009,51,95,248000,40292,0.05,0.6189,0.8,PT02,1,5,1,26,4
